country,cpi_division_id,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,1,4.803924,2.453962,0.9083796,2.639801,1.167711,-1.325349,-0.2021815,0.4555647,0.8851313,3.50503,3.469165
United States,2,2.172844,1.683888,2.086263,1.98985,1.719486,2.283826,3.515364,2.611499,3.250866,3.413118,4.46165
United States,3,1.631393,3.450456,1.102681,0.3951694,-0.9987356,-0.02269053,-0.3733105,0.3271379,-0.9156038,-4.453169,2.394024
United States,4,1.497319,1.722521,2.405407,2.969429,2.331402,2.847277,3.457183,3.162829,3.040952,2.588173,3.020479
United States,5,-0.4152586,0.6908713,-0.8977697,-1.445851,-0.7351201,-1.164767,-0.9007696,0.5484537,1.748028,1.747593,4.405128
United States,6,3.382161,2.96525,2.323896,2.741213,2.81994,3.449846,2.662488,2.091152,1.161041,2.306857,2.066314
United States,7,11.61792,2.190023,-0.6600554,-1.519197,-10.02131,-3.634065,2.624893,4.011728,-0.4611982,-4.250852,15.8044
United States,8,-0.8511271,0.4471165,0.2206017,-0.04913678,-1.700052,-0.5506312,-5.483102,-1.265205,-0.536588,2.362062,1.817034
United States,9,-0.3150816,0.6865212,0.1243561,-0.1050363,0.02375352,0.3683412,0.8242372,0.03175471,0.7961585,1.110668,2.602583
United States,10,4.182083,3.972705,3.658527,3.278435,3.614707,2.808177,2.333906,2.293032,2.900907,1.967091,1.414096
United States,11,2.765083,0.4216049,2.037282,2.685882,2.822092,2.63021,2.104085,2.413655,2.960448,1.504988,5.043777
United States,12,2.092965,3.343293,2.597442,2.126008,2.573264,3.885648,3.551218,3.631369,3.045196,2.122341,1.206019
